Email,Job,Status
ivory@ratke.com,FT Sales Associate - Store 20,Applicant Pool
alyon.smitham@hermistonkreiger.net,Cashier - (Full-Time) - Store 5,Background Pending
jonathon@brownkoch.com,Part-Time Sales Associate - Store 10,Applied
adrain.will@corkery.name,Part-Time Sales Associate - Store 5,Background Pending
caesar@wisoky.net,Part-Time Sales Associate - Store 3,Closed
arnold.lesch@schillerwatsica.biz,Cashier - (Full-Time) - Store 20,Closed
myrtice@langworth.info,Store Manager - Store 9,Closed
destin.bechtelar@littleharvey.info,FT Cashier - Store 18,Hired
pauline@ullrich.org,Sales Associate - (Part-Time) - Store 14,Background Pending
caleb.kautzer@gerlach.org,Part-Time Sales Associate - Store 19,Background Initiated
damion@damore.com,Cashier - (Part-Time) - Store 14,Submitted
concepcion.wuckert@schaefertorp.info,Part-Time Cashier - Store 4,Closed
keebler@gutmann.org,Sales Associate - (Part-Time) - Store 20,Background Pending
cristopher@jerdekub.net,Cashier - (Part-Time) - Store 20,Hired
liliana.hills@ernser.com,Sales Associate - (Part-Time) - Store 1,Applicant Pool
alayna_rath@parisian.com,Part-Time Sales Associate - Store 18,Applied
adrien@balistreri.org,Cashier - (Part-Time) - Store 2,Applied
sven@west.org,Part-Time Cashier - Store 1,Submitted
spencerjudy@quitzongulgowski.org,Cashier - (Part-Time) - Store 17,Applied
shawn_cole@gottliebprohaska.com,Sales Associate - (Part-Time) - Store 13,Background Pending
giovani.moore@hilll.info,Part-Time Cashier - Store 12,Closed
sigmund_boehm@satterfield.com,Part-Time Cashier - Store 19,Background Initiated
christ.bahringer@emardheller.net,Part-Time Cashier - Store 11,Hired
cristobal_schamberger@stracke.info,Sales Associate - (Full-Time) - Store 16,Submitted
merle@jaskolski.com,FT Sales Associate - Store 18,Background Pending
magdalena@kiehnbrown.net,FT Cashier - Store 18,Applied
gayle@will.info,Part-Time Sales Associate - Store 6,Submitted
salma@kaulke.name,Cashier - (Full-Time) - Store 16,Applicant Pool
lydia@shields.net,FT Cashier - Store 11,Background Initiated
francesco@goodwinabernathy.biz,Full-Time Cashier - Store 10,Applicant Pool
willis_buckridge@kulas.biz,Part-Time Cashier - Store 14,Submitted
florida_schneider@nitzsche.net,Full-Time Cashier - Store 15,Submitted
marian.keler@frami.info,Assistant Store Manager - Store 9,Applied
markus@schumm.com,Sales Associate - (Full-Time) - Store 6,Background Pending
astrid@gaylord.net,Part-Time Cashier - Store 6,Applied
albin@auer.info,Sales Associate - (Part-Time) - Store 11,Hired
towne@gloverokeefe.com,Cashier - (Part-Time) - Store 5,Hired
carissa@marvin.com,FT Cashier - Store 8,Applicant Pool
heloise.kuhic@nikolaus.com,Part-Time Sales Associate - Store 8,Applicant Pool
anderson@botsfordheidenreich.biz,FT Cashier - Store 4,Submitted
shayne@gerlach.info,Part-Time Sales Associate - Store 20,Submitted
talia.beahan@stromancremin.name,FT Sales Associate - Store 8,Closed
elenora.hamill@okongusikowski.com,Cashier - (Full-Time) - Store 7,Background Pending
rogahn@swaniawski.info,Part-Time Sales Associate - Store 14,Background Initiated
taureangreenholt@monahan.biz,Cashier - (Part-Time) - Store 17,Submitted
angus@wehner.org,Cashier - (Full-Time) - Store 3,Closed
ulices_gutmann@dicki.org,FT Sales Associate - Store 15,Applicant Pool
beie.kozey@jakubowskipurdy.info,Cashier - (Part-Time) - Store 8,Applicant Pool
aracely@osinskiwunsch.name,FT Sales Associate - Store 14,Approved
chelsey@donnelly.biz,FT Sales Associate - Store 7,Approved
laisha@kunzepfeffer.org,Full-Time Cashier - Store 13,Closed
maximillian@lynch.org,Cashier - (Part-Time) - Store 6,Closed
pearl@steuber.com,Cashier - (Part-Time) - Store 9,Applicant Pool
shayna@friesen.com,Full-Time Sales Associate - Store 14,Submitted
aidan_spencer@bins.com,Sales Associate - (Part-Time) - Store 4,Background Pending
icie.ryan@witting.org,Part-Time Sales Associate - Store 6,Applied
nick_howe@hirthe.com,Part-Time Sales Associate - Store 19,Approved
bailee.hodkiewicz@thompson.info,Cashier - (Full-Time) - Store 17,Hired
raynor.anabel@hilperthudson.net,Part-Time Cashier - Store 16,Submitted
amanda@gerlach.biz,Part-Time Cashier - Store 10,Closed
roberta@baumbach.org,Part-Time Cashier - Store 12,Submitted
jadon.ohara@gutkowski.net,Part-Time Sales Associate - Store 12,Applicant Pool
felipe@swift.info,FT Cashier - Store 12,Approved
wilkinson.sasha@hegmann.info,Part-Time Cashier - Store 3,Background Pending
littel.jakayla@jones.info,Part-Time Cashier - Store 11,Hired
mariane_abernathy@wilkinsonhoppe.name,Sales Associate - (Full-Time) - Store 16,Approved
cole.rippin@halvorson.net,Sales Associate - (Part-Time) - Store 10,Approved
okeykoss@metz.net,Part-Time Sales Associate - Store 7,Hired
oda.franecki@trantowfadel.net,Full-Time Cashier - Store 4,Background Pending
kristopher_goyette@zulauf.net,Part-Time Cashier - Store 10,Applicant Pool
roxane_hagenes@gaylordgoyette.biz,Part-Time Cashier - Store 18,Approved
golden.mohr@kautzertillman.biz,Sales Associate - (Part-Time) - Store 19,Closed
consueloo'reilly@goldnerwatsica.biz,Full-Time Sales Associate - Store 15,Approved
kamille@hagenes.org,FT Sales Associate - Store 20,Approved
keara@bodejacobi.com,FT Sales Associate - Store 11,Approved
brycen@pagac.org,Cashier - (Full-Time) - Store 3,Background Pending
trenton@mcdermott.org,FT Sales Associate - Store 13,Background Initiated
georgianna@davis.net,Part-Time Sales Associate - Store 6,Hired
alexane_gulgowski@huelteuber.biz,Cashier - (Part-Time) - Store 8,Hired
torphy@denesik.name,Full-Time Sales Associate - Store 6,Hired
claudine.batz@casper.name,Sales Associate - (Part-Time) - Store 8,Hired
charlotte.koch@bruen.info,Cashier - (Part-Time) - Store 8,Approved
elouise.farrell@jacobs.biz,FT Cashier - Store 16,Applicant Pool
geovanny@crookshahn.net,Cashier - (Full-Time) - Store 19,Applied
waters.anabelle@hilllhomenick.org,Cashier - (Full-Time) - Store 8,Hired
josie@beckerstroman.net,Sales Associate - (Full-Time) - Store 2,Background Initiated
bo.dicki@coleconnelly.org,FT Cashier - Store 6,Approved
cormierhester@tremblay.com,Full-Time Sales Associate - Store 2,Closed
sandrine_wintheiser@towne.com,Sales Associate - (Full-Time) - Store 12,Background Pending
rosieo'reilly@pfannerstill.info,Part-Time Sales Associate - Store 2,Applied
lenna.quigley@grimes.info,FT Cashier - Store 20,Closed
santiago_bogisich@jones.name,Part-Time Cashier - Store 10,Submitted
hester.barton@friesen.org,Cashier - (Full-Time) - Store 5,Closed
thaddeus@creminschuppe.info,Sales Associate - (Full-Time) - Store 20,Closed
ella.rolfson@donnellyfisher.biz,Sales Associate - (Full-Time) - Store 17,Submitted
mervin@robel.name,Full-Time Cashier - Store 10,Closed
margaret_rice@stokes.name,FT Cashier - Store 20,Background Pending
hanna@halvorsonschmitt.com,Sales Associate - (Full-Time) - Store 8,Hired
urbanhartmann@ebert.name,Full-Time Cashier - Store 5,Hired
ian@romaguera.net,Cashier - (Full-Time) - Store 4,Applicant Pool
collier@kovacek.net,FT Cashier - Store 17,Background Initiated
merritt@kshlerin.com,Full-Time Sales Associate - Store 9,Submitted
donnelly@torphy.net,FT Cashier - Store 7,Hired
andre_ferry@green.info,Sales Associate - (Full-Time) - Store 6,Closed
frances@howell.org,Cashier - (Part-Time) - Store 7,Background Initiated
chanelle@buckridge.org,Part-Time Cashier - Store 17,Hired
amanda.schmidt@heidenreichbogan.org,Part-Time Sales Associate - Store 17,Closed
estella_lakin@ullrich.net,Sales Associate - (Full-Time) - Store 11,Applicant Pool
raheem.sanford@harrisquitzon.name,FT Sale s Associate - Store 2,Submitted
chelsea.weinat@wiegand.name,Cashier - (Part-Time) - Store 6,Background Initiated
o'kon.mike@bartellfritsch.biz,FT Cashier - Store 7,Applicant Pool
jayda.kertzmann@johns.info,Assistant Store Manager - Store 18,Hired
timmothy.marvin@kulas.org,Cashier - (Full-Time) - Store 7,Closed
maud.koch@schaden.org,Cashier - (Part-Time) - Store 17,Hired
micaela@rodriguez.name,Sales Associate - (Full-Time) - Store 5,Applied
norbert@torp.info,Full-Time Sales Associate - Store 4,Hired
adelbert@marquardt.name,Cashier - (Full-Time) - Store 8,Background Initiated
arvid_legros@jacobsherzog.info,FT Cashier - Store 11,Hired
watson.bednar@harber.com,Sales Associate - (Part-Time) - Store 8,Closed
della@nolan.org,Store Manager - Store 1,Applied
tierra.stiedemann@uptonpadberg.net,FT Cashier - Store 3,Applied
adonis@hudson.name,Cashier - (Full-Time) - Store 10,Background Initiated
yasmine@romaguera.com,Sales Associate - (Full-Time) - Store 13,Background Initiated
anjali_kiehn@johnstonlittel.info,Sales Associate - (Full-Time) - Store 3,Submitted
jacquelyn.cole@morar.info,Cashier - (Part-Time) - Store 16,Applicant Pool
kayleigh@ziemann.org,Part-Time Cashier - Store 11,Applicant Pool
maximus@howehermann.net,Sales Associate - (Part-Time) - Store 15,Applied
reie@corkerydickinson.net,Part-Time Sales Associate - Store 10,Submitted
johan.yundt@pfannerstillraynor.org,Cashier - (Full-Time) - Store 16,Submitted
greenfelderroman@jerdedooley.name,Sales Associate - (Full-Time) - Store 4,Background Pending
cordelia@bruenherzog.biz,Part-Time Sales Associate - Store 5,Approved
mohammed_kozey@blicknikolaus.com,Cashier - (Full-Time) - Store 14,Submitted
bernardo.buckridge@wintheiser.info,Sales Associate - (Full-Time) - Store 9,Hired
georgette@anderson.com,FT Sales Associate - Store 16,Approved
roosevelt@quigleyhamill.net,Full-Time Sales Associate - Store 14,Submitted
darrion_hyatt@hansenebert.com,Cashier - (Full-Time) - Store 15,Background Initiated
camren@danielklocko.info,FT Cashier - Store 19,Submitted
jacinto_gulgowski@grant.name,Part-Time Sales Associate - Store 10,Applicant Pool
kylee_gleichner@halvorson.net,Sales Associate - (Part-Time) - Store 9,Background Initiated
manley@langosh.com,Full-Time Cashier - Store 11,Background Pending
nyasia@stokes.name,Part-Time Cashier - Store 6,Hired
alexa_pagac@fayhilll.info,Sales Associate - (Full-Time) - Store 20,Submitted
will.batz@hane.info,Sales Associate - (Full-Time) - Store 10,Background Pending
terencereichel@brakus.biz,Cashier - (Part-Time) - Store 3,Applicant Pool
august.stracke@bednar.org,Sales Associate - (Part-Time) - Store 16,Applied
madisen@bednar.biz,FT Sales Associate - Store 2,Closed
werner@fisher.org,Cashier - (Full-Time) - Store 19,Background Initiated
assunta.mertz@harvey.net,Part-Time Cashier - Store 7,Closed
delphia.heathcote@champlinwaters.name,Assistant Store Manager - Store 12,Approved
coy_howell@macejkovic.com,Part-Time Cashier - Store 17,Applicant Pool
madonna@friesen.name,Cashier - (Full-Time) - Store 3,Hired
floy@moriette.info,Cashier - (Full-Time) - Store 11,Hired
jayson@andersonrohan.net,Part-Time Sales Associate - Store 13,Applied
manuela@baumbach.name,FT Sales Associate - Store 7,Hired
ellis@ortiz.biz,Cashier - (Full-Time) - Store 14,Closed
quinn.bahringer@trantow.net,Part-Time Sales Associate - Store 13,Submitted
camille@gleason.name,FT Sales Associate - Store 15,Hired
fern@cummerata.biz,Cashier - (Full-Time) - Store 8,Background Pending
gwendolyn@champlin.org,Sales Associate - (Full-Time) - Store 1,Submitted
steuber@carter.net,FT Cashier - Store 9,Hired
ayden@quitzon.com,Part-Time Cashier - Store 20,Submitted
hilllcecelia@bogisich.com,FT Cashier - Store 16,Closed
ryleigh.corkery@mcdermottmante.net,FT Sales Associate - Store 7,Hired
karen@gottliebbode.biz,Sales Associate - (Full-Time) - Store 2,Applicant Pool
walker.ritchie@runolfonmaggio.net,FT Sales Associate - Store 4,Background Initiated
bert.will@harvey.net,Sales Associate - (Full-Time) - Store 7,Closed
kenyatta@hintz.name,FT Cashier - Store 19,Applied
kirstin@wiegandfeeney.org,Sales Associate - (Full-Time) - Store 12,Background Initiated
eli@ko.biz,FT Store Mnanager - Store 13,Closed
kali.oconnell@veumbeahan.org,FT Cashier - Store 14,Applied
elenor_willms@gleichner.info,Sales Associate - (Part-Time) - Store 19,Approved
eveline_schinner@macejkovictillman.info,Store Manager - Store 3,Hired
keenan.paucek@kshlerin.biz,Part-Time Cashier - Store 19,Applicant Pool
reina_jenkins@casper.net,Sales Associate - (Full-Time) - Store 5,Applicant Pool
lucinda@feeney.info,FT Sales Associate - Store 9,Background Pending
cynthia@lebsack.info,Part-Time Cashier - Store 16,Applied
henry@dietrich.org,Sales Associate - (Full-Time) - Store 13,Background Pending
belle.gutkowski@wisokyschiller.name,Sales Associate - (Full-Time) - Store 1,Hired
rosemary@buckridgecorkery.info,Part-Time Cashier - Store 7,Applicant Pool
virgie_borer@dickinsonhettinger.name,Part-Time Sales Associate - Store 3,Closed
brandy@douglaporer.net,Part-Time Cashier - Store 3,Background Initiated
jerrod.mayer@bahringer.biz,Full-Time Cashier - Store 13,Applied
chadd.hintz@maggio.org,Cashier - (Full-Time) - Store 1,Approved
joanny.lockman@roberts.info,FT Cashier - Store 2,Submitted
colton.smitham@schoen.name,Cashier - (Part-Time) - Store 5,Hired
summer@fay.net,Full-Time Sales Associate - Store 20,Background Initiated
mariah@mcclure.org,Part-Time Cashier - Store 15,Hired
annabelle_prosacco@altenwerth.org,FT Cashier - Store 7,Applicant Pool
zita.collins@brekke.info,Cashier - (Full-Time) - Store 17,Background Pending
general@hills.biz,Cashier - (Part-Time) - Store 5,Submitted
macie@bergnaumgerlach.name,Part-Time Sales Associate - Store 13,Background Initiated
kayleigh.ryan@hamill.org,FT Sales Associate - Store 8,Background Pending
katherine_breitenberg@pollich.name,Part-Time Cashier - Store 5,Background Pending
otilia@ledner.org,Sales Associate - (Full-Time) - Store 5,Hired
koch.rogelio@yundt.info,Part-Time Cashier - Store 12,Submitted
terence.stracke@kshlerin.org,Store Manager - Store 15,Background Initiated
kendall.ernser@ondricka.org,Cashier - (Full-Time) - Store 20,Closed
vladimir_lindgren@wuckert.org,Part-Time Cashier - Store 16,Hired
jeika_denesik@murazikkoelpin.org,Sales Associate - (Part-Time) - Store 12,Hired
ryder.little@corwin.com,FT Cashier - Store 5,Approved
tremaine@feest.net,Sales Associate - (Full-Time) - Store 5,Hired
adeline@langosh.biz,Assistant Store Manager - Store 14,Applicant Pool
kacey_grady@stantonratke.org,Part-Time Sales Associate - Store 14,Hired
randall_ferry@jonesmayer.net,Part-Time Cashier - Store 20,Hired
elisa.huels@hodkiewicz.org,Store Manager - Store 2,Background Initiated
clotilde@bergstromnicolas.org,Part-Time Sales Associate - Store 7,Applicant Pool
deangelo@torp.com,Part-Time Cashier - Store 10,Submitted
cortney_reichert@thompson.biz,Part-Time Sales Associate - Store 12,Approved
aylin@klockohand.info,FT Cashier - Store 5,Submitted
nona@bosco.name,Part-Time Cashier - Store 14,Applied
gilbert@hegmann.biz,FT Sales Associate - Store 17,Hired
eddie_cummerata@koelpinkihn.name,Part-Time Cashier - Store 5,Hired
melya@rosenbaum.name,Sales Associtate - (Part-Time) - Store 12,Applied
dusty_beatty@cummerata.org,Full-Time Sales Associate - Store 8,Hired
ramona@macgyver.info,Part-Time Cashier - Store 16,Background Initiated
bartolettiabbey@greenfelder.net,FT Cashier - Store 10,Approved
makenna@ledner.name,Sales Associtate - (Full-Time) - Store 15,Applicant Pool
lupe@dooley.info,Cashier - (Full-Time) - Store 15,Applied
else@luettgen.org,Part-Time Cashier - Store 8,Background Pending
pink@bergstrom.info,Part-Time Cashier - Store 4,Background Pending
torrance@berniersipes.biz,Sales Associate - (Full-Time) - Store 6,Applicant Pool
bergnaum@littelschaefer.info,FT Sales Associate - Store 18,Hired
modesta@rempel.org,Part-Time Sales Associate - Store 2,Applied
leanna@lind.info,Part-Time Cashier - Store 16,Applied
theodora@monahan.net,Sales Associate - (Part-Time) - Store 10,Applied
briana.wuckert@beckerdubuque.name,Part-Time Sales Associate - Store 3,Background Pending
olaf.boyle@dickiherzog.net,Sales Associate - (Full-Time) - Store 9,Approved
angelita.parker@rohantromp.name,Full-Time Cashier - Store 18,Background Pending
aaronkerluke@von.net,FT Cashier - Store 5,Submitted
telly@hammes.net,Cashier - (Part-Time) - Store 7,Submitted
camila.kling@fayyost.com,Full-Time Cashier - Store 1,Applicant Pool
amie@carrollkoch.name,Part-Time Sales Associate - Store 20,Hired
gabriel@mueller.net,Store Manager - Store 16,Submitted
alek.gislason@quitzon.com,Sales Associate - (Full-Time) - Store 16,Applicant Pool
christine.metz@bradtkebeer.name,Sales Associate - (Full-Time) - Store 8,Approved
hollis@adams.biz,Cashier - (Full-Time) - Store 13,Submitted
emily@framicrist.net,Part-Time Cashier - Store 17,Background Pending
kenna_lindgren@jaskolski.org,Full-Time Cashier - Store 15,Background Initiated
martina@strosin.org,Cashier - (Full-Time) - Store 15,Hired
crist@bins.org,Cashier - (Full-Time) - Store 4,Background Initiated
dubuque@beier.com,FT Cashier - Store 7,Approved
minerva@haley.info,Part-Time Sales Associate - Store 16,Background Pending
delphine.pacocha@runolfon.info,Sales Associate - (Part-Time) - Store 11,Applicant Pool
gene_quigley@kreiger.info,Sales Associate - (Part-Time) - Store 19,Applicant Pool
celestino.tromp@schamberger.info,Cashier - (Part-Time) - Store 7,Approved
robyn@fisher.name,Sales Associate - (Full-Time) - Store 19,Applicant Pool
candace.stoltenberg@kuvalisharvey.org,Part-Time Cashier - Store 6,Approved
anne@powlowski.biz,Csashier - (Part-Time) - Store 18,Background Pending
yvonne@bartoletti.org,Store Manager - Store 19,Applied
jamie@kshlerin.net,Part-Time Sales Associate - Store 8,Submitted
santina@williamsonwolf.net,Sales Associate - (Part-Time) - Store 20,Background Initiated
orlando@jakubowskinolan.com,Part-Time Cashier - Store 13,Hired
donnell@hyatt.org,Part-Time Sales Associate - Store 8,Background Pending
brayan@hayes.org,Cashier - (Full-Time) - Store 1,Approved
langosh.theron@bergstromblanda.net,FT Cashier - Store 13,Submitted
rupert@wintheiser.com,Cashier - (Full-Time) - Store 4,Closed
amber.oreilly@abshire.info,Part-Time Cashier - Store 9,Submitted
pierre@heller.com,FT Sales Associate - Store 4,Applied
lucie_wisoky@douglaskuvalis.info,FT Sales Associate - Store 12,Background Pending
alverta@fadel.org,Store Manager - Store 20,Hired
jayda@schulistflatley.name,Sales Associate - (Full-Time) - Store 13,Closed
paytonsauer@lockman.net,Part-Time Sales Associate - Store 19,Applied
mayra.boyer@king.com,Sales Associate - (Part-Time) - Store 4,Hired
colten.dare@walter.com,FT Sales Associate - Store 8,Submitted
alicia@pacochacormier.biz,Part-Time Sales Associate - Store 20,Background Pending
else.jones@wyman.biz,Sales Associate - (Full-Time) - Store 8,Applicant Pool
paucek@feil.org,Part-Time Sales Associate - Store 19,Hired
naomi@spencer.com,Cashier - (Full-Time) - Store 6,Applicant Pool
lucious@roberts.org,Cashirer - (Full-Time) - Store 2,Applicant Pool
clifton_daugherty@ruecker.info,Part-Time Sales Associate - Store 13,Background Pending
tyree@gleichner.biz,Sales Associate - (Part-Time) - Store 16,Approved
greyson_jones@veumbernier.info,Store Manager - Store 19,Submitted
dexter@ledner.biz,Part-Time Sales Associate - Store 8,Applied
bethany@turnervon.net,FT Cashier - Store 10,Applied
llewellyn@ankunding.name,Part-Time Sales Associate - Store 15,Applicant Pool
zora@okeefe.com,Sales Associate - (Full-Time) - Store 17,Background Pending
effie.quigley@ebert.com,Part-Time Sales Associate - Store 7,Hired
crystel@ruelturner.biz,FT Sales Associate - Store 14,Approved
diamond_feil@gleasondooley.com,Cashier - (Full-Time) - Store 7,Hired
demario@hammes.com,Sales Associate - (Part-Time) - Store 2,Closed
alivia@brakuscain.info,Part-Time Sales Associate - Store 5,Background Pending
kimberly_heel@runolfsdottirkaulke.name,Part-Time Sales Associate - Store 20,Hired
rosalee.cartwright@koelpin.biz,Part-Time Cashier - Store 16,Submitted
lavon.treutel@reillyritchie.info,Full-Time Cashier - Store 14,Applicant Pool
buck@harveykuhlman.biz,Sales Associate - (Full-Time) - Store 14,Submitted
keagan.halvorson@carter.com,FT Cashier - Store 12,Background Pending
alivia@harvey.info,Sales Associate - (Part-Time) - Store 18,Closed
mara@mills.biz,Part-Time Sales Associate - Store 8,Hired
gay_gottlieb@bartoletti.org,Cashier - (Part-Time) - Store 18,Approved
darryl.kunde@wisozk.net,Part-Time Sales Associate - Store 18,Hired
cortez@smith.com,Full-Time Cashier - Store 5,Approved
edwina@parker.org,Part-Time Cashier - Store 1,Approved
ova@fritschgrady.com,Part-Time Cashier - Store 4,Applied
zora@bechtelar.com,Cashier - (Part-Time) - Store 1,Submitted
olga.brown@terry.info,FT Sales Associate - Store 16,Closed
mandy_moriette@howell.info,Part-Time Cashier - Store 17,Background Initiated
angelina@harbermayer.biz,Part-Time Sales Associate - Store 6,Hired
cooper@goyettepaucek.name,Sales Associate - (Full-Time) - Store 3,Applied
alec_halvorson@mcclure.net,Cashier - (Full-Time) - Store 10,Closed
jeremie@schowalter.info,FT Cashier - Store 18,Hired
bailee@conn.org,Part-Time Cashier - Store 20,Background Pending
josh.reichert@brown.com,FT Sales Associate - Store 17,Hired
rosemary@boyer.biz,FT Sales Associate - Store 12,Applicant Pool
lila@hillsankunding.org,FT Sales Associate - Store 5,Submitted
o'connelltoni@reynolds.name,Cashier - (Part-Time) - Store 8,Hired
sandra.kunde@gorczany.biz,Cashier - (Full-Time) - Store 6,Background Pending
kristin.welch@huel.biz,Store Manager - Store 18,Closed
reynold@grant.net,FT Cashier - Store 8,Approved
